"filename", "language", "JavaScript", "Objective-C", "XML", "Objective-C++", "C++", "JSON", "Java Properties", "Groovy", "Batch", "Makefile", "Java", "comment", "blank", "total"
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\.eslintrc.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\.prettierrc.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\.watchmanconfig", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\App.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15, 156
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\__tests__\App-test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 15
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 132, 31, 314
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\app\src\debug\java\com\instgram_clone_fullstack\ReactNativeFlipper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 8, 6, 74
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\app\src\main\java\com\instgram_clone_fullstack\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 9, 10, 49
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\app\src\main\java\com\instgram_clone_fullstack\MainApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 14, 12, 107
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\app\src\main\java\com\instgram_clone_fullstack\newarchitecture\MainApplicationReactNativeHost.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 20, 14, 117
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\app\src\main\java\com\instgram_clone_fullstack\newarchitecture\components\MainComponentsRegistry.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 8, 7, 37
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\app\src\main\java\com\instgram_clone_fullstack\newarchitecture\modules\MainApplicationTurboModuleManagerDelegate.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 10, 9, 49
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\app\src\main\jni\Android.mk", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 12, 10, 50
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\app\src\main\jni\MainApplicationModuleProvider.cpp", "C++", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 9, 5, 25
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\app\src\main\jni\MainApplicationModuleProvider.h", "C++", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\app\src\main\jni\MainApplicationTurboModuleManagerDelegate.cpp", "C++", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 8, 46
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\app\src\main\jni\MainApplicationTurboModuleManagerDelegate.h", "C++", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 9, 39
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\app\src\main\jni\MainComponentsRegistry.cpp", "C++", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 5, 14, 62
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\app\src\main\jni\MainComponentsRegistry.h", "C++", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 9, 33
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\app\src\main\jni\OnLoad.cpp", "C++", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\app\src\main\res\drawable\rn_edit_text_material.xml", "XML", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 23, 3, 37
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 10
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 7, 3, 50
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 27, 9, 42
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 22, 90
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\app.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\babel.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\index.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 11
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\ios\instgram_clone_fullstackTests\instgram_clone_fullstackTests.m", "Objective-C", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 67
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\ios\instgram_clone_fullstack\AppDelegate.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\ios\instgram_clone_fullstack\AppDelegate.mm", "Objective-C++", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 24, 109
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\ios\instgram_clone_fullstack\Images.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 1, 54
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\ios\instgram_clone_fullstack\Images.xcassets\Contents.json", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\ios\instgram_clone_fullstack\LaunchScreen.storyboard", "XML", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 48
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\ios\instgram_clone_fullstack\main.m", "Objective-C", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\metro.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 18
